r,v,p
3.68,109.88,3283.43
974.66,301.43,93.22
23.42,2.99,0.38
54.65,15.22,4.24
3.17,69.11,1508.85
7.36,33.76,154.94
246.71,25.32,2.6
8.6,8.35,8.11
33.22,106.64,342.26
1.29,84.31,5506.2
576.71,213.43,78.98
226.87,16.05,1.14
274.93,264.85,255.13
2.19,14.0,89.44
30.38,3.42,0.39
0.63,24.45,951.37
6.82,486.06,34629.59
8.97,237.06,6268.41
977.55,1.51,0.0
1883.79,1.73,0.0
83.97,29.36,10.27
36.34,1.94,0.1
19.24,39.17,79.75
0.58,118.27,24035.78
381.1,11.21,0.33
131.5,465.6,1648.56
109.08,110.86,112.68
410.39,21.23,1.1
1101.23,91.93,7.67
12.65,14.76,17.23
17.18,496.69,14363.88
1627.34,6.26,0.02
123.67,337.28,919.82
582.89,207.88,74.14
3.14,325.53,33736.03
6.94,173.02,4316.3
12.87,358.53,9988.56
6.93,31.19,140.39
765.74,496.76,322.26
34.79,42.28,51.38
1361.65,115.15,9.74
7.18,21.55,64.67
0.68,28.17,1165.69
1.57,3.5,7.81
3.03,286.52,27129.4
100.97,414.4,1700.85
2.25,1.77,1.39
11.83,50.03,211.5
366.44,24.46,1.63
1.41,8.12,46.84
0.97,2.81,8.13
44.05,17.31,6.8
163.48,21.32,2.78
955.6,363.23,138.07
121.19,169.13,236.04
1279.86,18.34,0.26
3.8,1.79,0.84
8.52,444.09,23158.81
527.49,1.69,0.01
417.29,279.39,187.07
124.15,4.21,0.14
33.24,2.35,0.17
0.58,28.96,1447.8
5.12,457.42,40877.27
1.86,237.94,30451.6
0.76,2.24,6.59
312.22,22.09,1.56
1.49,190.33,24380.73
9.69,10.21,10.77
1658.93,39.13,0.92
14.89,103.6,721.03
1.62,413.74,105867.54
152.59,3.08,0.06
413.46,279.34,188.73
5.06,1.64,0.53
411.43,285.27,197.8
4.75,5.02,5.3
156.89,12.3,0.96
1.41,2.62,4.89
17.38,104.68,630.5
37.48,77.62,160.74
204.87,5.32,0.14
109.75,11.74,1.26
592.6,334.13,188.4
2.31,42.94,799.85
120.45,81.98,55.79
1.44,180.21,22512.98
26.37,97.18,358.18
38.77,1.73,0.08
0.63,344.91,189775.4
0.9,2.47,6.8
527.32,107.06,21.74
5.4,21.68,87.14
8.83,211.87,5085.51
101.33,16.58,2.71
3.12,21.72,151.29
2.48,8.19,27.08
16.5,1.58,0.15
0.82,350.32,150474.31
1004.5,3.49,0.01
1217.02,46.43,1.77
20.58,37.45,68.16
2.84,7.9,22.0
24.77,69.2,193.3
1.15,3.07,8.25
13.55,57.05,240.21
0.92,12.89,180.27
174.83,20.72,2.45
4.92,35.54,256.63
37.53,45.63,55.48
0.56,10.52,197.65
38.79,74.33,142.44
0.51,8.51,140.96
1075.39,26.05,0.63
31.93,2.68,0.22
1.15,487.67,207413.78
8.46,9.78,11.29
0.73,2.32,7.33
40.86,252.76,1563.67
1.38,2.33,3.94
25.3,1.94,0.15
6.3,49.6,390.39
276.85,2.17,0.02
27.29,7.09,1.84
567.79,5.06,0.05
1229.6,24.86,0.5
1553.31,1.71,0.0
4.33,89.09,1834.28
290.94,1.54,0.01
18.93,15.39,12.52
17.14,12.49,9.11
670.48,30.56,1.39
1.67,12.53,93.86
26.31,2.44,0.23
68.32,261.51,1000.93
0.87,337.34,131519.52
650.13,227.92,79.9
6.78,6.56,6.36
116.11,79.28,54.14
1101.46,118.69,12.79
195.69,10.62,0.58
777.02,41.07,2.17
0.89,1.89,4.02
29.77,5.04,0.85
54.14,67.7,84.65
151.68,15.47,1.58
1.32,10.73,87.32
116.08,29.77,7.64
1.68,2.67,4.26
0.88,11.5,151.03
24.52,43.89,78.56
72.7,145.65,291.8
1413.08,1.94,0.0
164.23,14.43,1.27
67.48,6.43,0.61
2.96,1.62,0.89
1.76,10.04,57.14
76.98,114.05,168.97
3.18,28.5,255.58
175.47,113.77,73.77
1.29,2.37,4.33
8.36,3.14,1.18
304.56,89.49,26.29
492.51,78.84,12.62
8.76,356.92,14541.36
2.78,11.74,49.67
1414.05,33.2,0.78
275.68,331.4,398.38
403.69,9.21,0.21
3.17,5.65,10.05
16.9,377.73,8444.0
0.88,138.31,21729.38
1.24,5.0,20.18
3.13,49.41,781.18
6.18,11.33,20.75
1953.84,7.44,0.03
16.57,5.93,2.12
163.22,195.3,233.69
905.41,3.43,0.01
3.85,456.56,54163.76
1.66,64.92,2537.89
3.76,202.46,10901.74
754.23,30.75,1.25
124.97,436.17,1522.29
21.12,5.34,1.35
450.48,3.49,0.03
3.56,161.69,7340.13
3.63,6.63,12.09
55.22,26.79,12.99
350.61,276.74,218.44
4.3,45.79,487.06
2.85,3.32,3.87
25.48,413.64,6713.98
1.52,42.26,1173.52
246.96,11.94,0.58
60.06,48.06,38.46
35.09,1.58,0.07
693.29,400.93,231.86
217.62,30.5,4.28
1.72,79.59,3673.58
16.35,4.66,1.33
7.18,51.34,367.02
387.32,5.55,0.08
194.53,113.96,66.76
25.07,32.42,41.93
463.23,3.85,0.03
15.0,5.12,1.75
392.11,25.22,1.62
0.65,21.64,717.52
1.53,155.69,15872.66
264.26,342.52,443.96
1.29,40.22,1252.85
145.18,35.43,8.65
201.99,96.67,46.26
121.41,178.79,263.29
442.89,36.19,2.96
34.82,9.6,2.64
851.43,10.49,0.13
56.28,85.15,128.83
33.76,17.2,8.76
34.18,107.42,337.54
964.59,41.14,1.75
3.77,276.69,20285.89
159.42,19.48,2.38
3.74,3.69,3.63
1.07,31.07,898.99
1362.74,2.05,0.0
1.47,17.84,217.13
148.14,310.91,652.51
16.91,296.98,5214.2
517.92,159.94,49.39
304.85,4.02,0.05
1.65,1.9,2.19
24.21,4.8,0.95
0.63,164.7,43177.07
17.63,449.63,11470.0
166.41,109.48,72.02
3.43,249.33,18128.18
413.77,35.26,3.0
0.78,268.36,92676.12
0.67,10.78,174.34
0.63,3.19,16.24
5.1,75.53,1118.39
24.07,3.59,0.54
1.22,292.26,70072.21
1946.71,12.44,0.08
1992.73,4.37,0.01
37.27,83.99,189.29
55.59,11.67,2.45
1089.91,1.8,0.0
296.35,2.44,0.02
2.01,10.68,56.66
357.74,476.42,634.47
3.39,43.89,567.49
17.73,4.61,1.2
41.41,297.88,2142.76
191.27,216.9,245.96
1.74,5.36,16.54
0.94,10.67,120.97
658.87,86.24,11.29
475.47,465.91,456.54
38.35,2.99,0.23
121.57,29.36,7.09
194.96,3.83,0.08
26.03,40.82,64.0
4.22,21.29,107.36
27.1,276.73,2825.84
1329.85,164.67,20.39
521.07,5.41,0.06
23.76,2.66,0.3
3.25,57.0,1000.55
800.6,4.82,0.03
99.53,100.5,101.47
14.35,6.29,2.76
1.26,24.31,468.12
255.19,274.55,295.37
6.93,3.65,1.93
76.37,3.84,0.19
56.33,378.95,2549.21
165.6,3.47,0.07
43.2,168.84,659.81
93.27,173.36,322.21
0.98,61.11,3797.2
124.55,3.45,0.1
2.5,16.43,107.81
12.91,90.07,628.45
35.09,451.91,5820.5
148.99,1.76,0.02
236.18,13.49,0.77
173.04,3.08,0.05
1.1,4.55,18.82
12.38,166.43,2237.85
5.13,121.64,2885.35
13.62,334.46,8214.56
106.92,59.06,32.63
2.48,3.05,3.76
32.18,23.39,17.01
769.72,3.28,0.01
215.05,99.8,46.31
205.01,4.94,0.12
570.29,4.25,0.03
13.71,459.62,15407.39
272.07,80.22,23.66
0.81,1.98,4.83
0.8,4.06,20.62
7.84,9.49,11.49
2.56,19.97,155.85
36.88,7.45,1.5
2.28,5.63,13.89
1633.22,2.36,0.0
581.7,416.08,297.61
1730.28,2.85,0.0
406.05,67.32,11.16
1333.29,46.05,1.59
10.59,365.4,12607.25
31.08,308.02,3052.76
3.65,54.47,812.07
97.54,5.25,0.28
345.32,42.63,5.26
31.29,30.09,28.94
5.84,4.36,3.26
33.7,220.79,1446.45
0.84,1.81,3.88
197.92,85.27,36.74
21.17,192.31,1747.02
859.93,1.61,0.0
1058.21,5.39,0.03
1.42,8.58,52.04
1936.52,7.77,0.03
1557.14,3.18,0.01
90.77,86.53,82.49
470.2,16.12,0.55
0.58,2.51,10.86
1564.43,20.86,0.28
22.01,85.41,331.41
945.72,13.82,0.2
12.2,1.71,0.24
345.17,483.76,677.99
16.01,7.16,3.21
10.13,45.09,200.76
1286.21,184.43,26.44
164.9,279.5,473.75
530.88,146.93,40.67
45.31,17.24,6.56
1016.06,71.98,5.1
231.39,321.5,446.7
0.91,230.77,58538.35
289.26,4.54,0.07
0.58,464.02,368727.7
484.54,2.74,0.02
7.84,422.53,22769.06
71.45,232.83,758.66
250.19,4.47,0.08
98.48,77.02,60.23
132.1,289.97,636.53
821.12,25.51,0.79
11.12,8.84,7.03
46.75,105.9,239.86
2.13,168.33,13281.8
24.16,3.01,0.37
1.74,26.65,409.16
95.76,4.65,0.23
7.36,67.5,618.91
621.14,368.71,218.87
8.64,98.67,1126.6
5.4,124.4,2867.27
29.41,86.07,251.84
2.14,252.36,29753.34
2.71,49.07,888.39
331.06,1.78,0.01
30.9,9.73,3.06
2.77,153.8,8544.79
0.65,15.24,357.7
23.95,8.37,2.93
236.57,22.64,2.17
9.2,51.77,291.14
3.91,39.39,396.92
13.39,1.61,0.19
1424.99,57.26,2.3
16.72,74.43,331.34
4.31,11.61,31.27
56.16,5.66,0.57
416.21,9.89,0.23
0.6,35.66,2112.78
51.2,17.8,6.19
514.54,30.86,1.85
2.99,26.7,238.4
1044.55,96.14,8.85
60.24,96.7,155.23
36.33,17.87,8.79
1479.57,3.81,0.01
1.47,64.64,2851.33
231.74,5.27,0.12
444.13,9.73,0.21
28.76,22.31,17.31
0.53,1.99,7.53
38.7,38.27,37.84
1.79,12.32,84.91
53.14,213.1,854.64
228.83,2.6,0.03
40.92,21.64,11.45
93.57,13.32,1.9
1.18,230.51,44874.38
1.12,265.87,63213.53
580.91,9.9,0.17
0.75,112.64,16853.98
5.28,2.51,1.19
1192.91,277.78,64.68
22.48,18.12,14.61
134.49,6.64,0.33
3.14,14.38,65.72
4.71,1.79,0.68
34.07,7.16,1.5
99.41,64.26,41.53
1440.82,200.64,27.94
58.62,207.02,731.04
1.11,5.84,30.78
10.49,46.45,205.78
3.79,5.21,7.16
4.12,375.99,34277.97
33.07,3.6,0.39
6.91,4.06,2.38
5.51,58.75,626.5
1534.02,62.23,2.52
63.45,2.13,0.07
4.38,202.99,9397.94
4.93,18.13,66.72
417.2,5.91,0.08
780.03,25.53,0.84
139.6,4.29,0.13
17.91,28.75,46.14
283.8,26.8,2.53
1189.81,471.21,186.62
1.98,28.94,421.93
635.16,19.08,0.57
570.79,286.95,144.26
10.45,38.48,141.71
5.62,4.62,3.79
54.36,56.22,58.14
4.78,119.93,3006.29
1.67,8.78,46.16
1355.24,84.97,5.33
29.44,124.5,526.55
25.12,6.52,1.69
1.42,2.35,3.88
32.73,2.48,0.19
236.97,2.91,0.04
3.91,310.34,24616.91
10.66,127.74,1530.8
2.21,310.24,43647.16
9.51,372.3,14581.77
632.93,59.42,5.58
3.57,15.72,69.2
0.64,6.27,61.64
42.7,5.11,0.61
61.14,275.49,1241.28
7.65,162.16,3436.83
102.31,2.12,0.04
0.68,4.13,24.85
8.43,22.83,61.82
1.66,53.96,1755.41
3.36,13.5,54.18
11.94,93.04,725.16
29.94,9.64,3.1
1.08,51.34,2433.34
1.16,173.23,25902.24
133.94,9.6,0.69
14.28,1.54,0.17
2.16,13.0,78.13
3.51,4.14,4.89
196.18,70.81,25.56
0.77,2.18,6.17
34.0,41.25,50.05
9.93,56.29,319.14
417.61,19.86,0.94
350.74,234.36,156.6
151.89,5.54,0.2
12.16,105.58,916.66
93.91,10.83,1.25
100.87,2.17,0.05
7.86,1.62,0.33
739.08,195.61,51.77
1763.95,201.89,23.11
6.79,111.03,1816.52
384.63,55.01,7.87
31.86,110.74,384.92
23.39,104.25,464.58
12.34,30.58,75.79
5.63,20.28,73.01
1025.87,2.21,0.0
233.04,23.14,2.3
19.34,32.44,54.41
254.77,15.53,0.95
193.82,3.65,0.07
4.59,2.83,1.74
2.15,25.85,310.05
514.48,28.9,1.62
418.51,142.97,48.84
1948.63,2.25,0.0
0.59,139.58,33186.09
44.2,5.93,0.8
167.95,5.69,0.19
62.71,20.35,6.6
181.14,440.51,1071.25
1.56,451.07,130344.82
0.51,154.81,47332.02
1.08,38.89,1398.02
11.69,148.9,1895.86
7.65,420.01,23052.68
703.37,125.57,22.42
1.0,164.18,26964.15
19.66,154.89,1220.21
1409.63,4.42,0.01
32.39,63.28,123.61
1.5,292.53,57077.95
5.6,415.41,30819.82
90.51,8.06,0.72
0.55,58.81,6263.45
1535.06,123.32,9.91
55.11,21.26,8.2
171.92,10.19,0.6
31.35,10.72,3.66
1410.82,19.45,0.27
66.28,176.24,468.62
121.19,3.16,0.08
630.61,96.03,14.62
634.38,6.4,0.06
0.63,143.99,32825.66
5.24,7.19,9.87
3.86,159.22,6573.13
0.53,3.82,27.57
719.77,18.72,0.49
6.94,438.81,27747.29
8.89,258.71,7531.83
1.14,2.4,5.04
1836.56,422.39,97.14
473.34,171.48,62.12
57.39,209.59,765.36
301.65,114.44,43.42
314.9,14.06,0.63
116.03,4.84,0.2
2.12,186.2,16374.96
196.6,1.63,0.01
56.33,56.32,56.31
202.82,184.13,167.16
45.34,11.57,2.95
1392.37,48.22,1.67
90.69,23.96,6.33
58.26,220.23,832.41
542.93,133.3,32.73
11.61,3.4,0.99
6.86,14.82,32.02
32.46,52.3,84.24
63.72,2.9,0.13
3.11,471.37,71378.76
143.41,492.48,1691.15
388.3,12.13,0.38
60.05,287.32,1374.76
38.26,196.41,1008.34
5.76,4.35,3.28
944.81,47.02,2.34
261.05,6.43,0.16
26.85,5.19,1.0
118.33,72.28,44.15
8.17,1.94,0.46
0.82,5.62,38.46
2.71,2.76,2.81
0.97,3.91,15.78
33.84,2.14,0.14
87.03,2.45,0.07
11.73,40.95,142.92
40.61,377.12,3502.24
1.02,1.51,2.26
296.76,185.62,116.1
0.66,323.31,159288.62
96.43,15.11,2.37
18.19,3.16,0.55
2.3,21.95,209.73
38.29,171.36,766.96
325.08,34.22,3.6
15.43,53.39,184.66
10.56,6.72,4.27
1.63,289.59,51456.5
69.29,20.21,5.9
480.31,2.63,0.01
52.6,5.5,0.58
1.97,53.2,1439.5
120.43,244.35,495.77
0.64,176.02,48259.35
522.02,3.83,0.03
1042.92,2.5,0.01
70.72,2.8,0.11
750.23,6.12,0.05
1.01,15.86,249.57
3.32,220.39,14618.31
6.95,38.8,216.7
304.76,383.14,481.68
27.75,265.98,2549.62
8.99,438.87,21425.89
1.86,6.68,24.04
415.87,39.87,3.82
0.59,9.58,154.75
8.2,16.94,34.97
3.75,9.72,25.23
1.46,1.66,1.89
2.08,263.44,33318.95
30.04,166.02,917.61
17.13,44.73,116.85
36.83,36.08,35.35
208.88,2.12,0.02
818.83,28.18,0.97
1.34,8.97,60.28
0.99,1.53,2.35
7.13,12.97,23.62
46.43,20.38,8.95
1.14,17.54,268.67
189.65,4.99,0.13
50.36,25.97,13.39
248.3,127.02,64.98
9.73,151.93,2371.75
13.92,27.57,54.58
405.41,1.65,0.01
4.58,417.69,38103.0
11.83,2.92,0.72
0.56,3.09,17.07
50.03,180.99,654.67
583.44,50.96,4.45
0.63,16.99,458.01
81.26,189.8,443.32
555.04,27.87,1.4
30.07,27.06,24.35
6.71,177.92,4719.99
1944.13,21.13,0.23
0.86,3.58,14.99
2.86,23.42,191.57
772.1,5.77,0.04
5.89,1.79,0.55
448.86,67.18,10.05
7.93,5.91,4.41
420.51,18.58,0.82
147.57,43.84,13.02
24.36,13.57,7.56
38.25,18.11,8.57
2.18,2.2,2.22
1.31,196.22,29450.24
191.18,235.33,289.69
569.62,63.33,7.04
199.32,3.61,0.07
970.88,16.36,0.28
803.68,51.13,3.25
317.72,160.98,81.56
859.17,2.31,0.01
2.0,56.57,1598.95
215.46,2.44,0.03
259.27,51.15,10.09
1.79,1.53,1.31
944.81,266.13,74.96
0.54,6.25,72.59
18.38,22.44,27.38
0.6,26.76,1198.35
38.38,188.7,927.68
15.26,83.04,451.87
87.76,41.14,19.29
288.24,229.23,182.31
293.38,6.11,0.13
199.74,47.31,11.2
1.16,60.5,3144.76
15.94,67.8,288.3
434.58,232.71,124.61
113.71,38.32,12.92
141.93,25.63,4.63
3.28,21.13,136.03
7.41,7.59,7.77
1386.31,163.17,19.21
561.88,28.88,1.48
1.96,2.17,2.4
45.81,44.05,42.35
29.23,1.69,0.1
19.82,2.99,0.45
24.78,65.98,175.68
103.44,15.53,2.33
1523.0,5.26,0.02
711.12,2.3,0.01
709.95,34.63,1.69
170.83,56.53,18.7
0.58,141.36,34538.71
19.3,9.11,4.3
34.68,4.65,0.62
541.59,101.58,19.05
1054.64,96.15,8.77
21.16,141.64,948.21
6.04,15.19,38.21
8.21,57.09,397.23
60.72,3.59,0.21
4.89,5.45,6.07
953.91,6.86,0.05
16.11,349.23,7572.59
1841.79,48.37,1.27
1.24,16.18,211.09
2.38,87.28,3207.11
34.81,2.49,0.18
670.9,60.01,5.37
9.42,10.73,12.22
519.49,55.27,5.88
17.04,2.68,0.42
590.88,1.53,0.0
4.99,180.38,6517.63
25.05,72.28,208.6
5.05,2.95,1.72
2.98,2.61,2.28
16.44,98.62,591.53
8.03,42.42,224.19
342.23,6.83,0.14
246.61,107.59,46.94
9.78,14.63,21.89
1875.86,57.07,1.74
1609.88,13.16,0.11
1011.72,176.92,30.94
64.8,477.71,3521.38
15.28,55.45,201.25
6.71,63.2,595.56
0.57,7.84,108.46
94.36,45.57,22.01
49.15,3.29,0.22
92.85,147.05,232.89
59.37,172.3,500.01
1.57,324.9,67368.33
159.87,5.48,0.19
9.94,5.67,3.23
36.2,273.61,2068.06
10.38,55.94,301.54
0.6,2.08,7.23
718.41,13.83,0.27
1.72,3.07,5.5
62.52,7.17,0.82
758.68,2.04,0.01
3.13,14.43,66.42
15.24,13.38,11.75
11.47,14.84,19.19
1.05,299.88,85814.32
16.77,93.12,517.07
26.67,261.28,2559.32
0.62,12.92,267.66
28.66,150.56,790.9
1.09,7.81,56.01
819.74,15.2,0.28
109.87,110.26,110.65
0.8,375.14,176267.16
476.46,4.2,0.04
10.03,77.05,591.65
3.25,148.19,6760.54
4.11,36.8,329.61
71.12,3.83,0.21
0.98,8.94,81.21
0.81,2.53,7.89
91.06,268.44,791.37
1721.34,9.9,0.06
27.56,130.88,621.5
15.4,3.24,0.68
1290.72,11.23,0.1
3.69,474.17,60931.01
3.68,326.53,29002.19
910.44,2.71,0.01
106.97,35.06,11.49
0.78,10.2,133.14
133.87,54.58,22.25
449.54,213.06,100.97
4.85,14.73,44.71
11.97,162.89,2216.35
2.58,98.06,3732.19
95.57,5.66,0.34
123.44,8.25,0.55
0.88,279.2,88307.73
138.07,281.67,574.63
117.7,435.98,1614.99
0.67,215.92,69672.67
50.05,466.9,4355.05
81.36,68.01,56.85
17.72,13.66,10.53
882.2,7.59,0.07
7.62,3.96,2.06
0.87,13.66,213.9
131.53,43.46,14.36
75.68,5.01,0.33
1826.49,14.51,0.12
3.41,371.49,40525.54
13.29,33.96,86.78
22.92,475.08,9848.57
634.12,138.5,30.25
15.57,2.85,0.52
302.2,45.94,6.98
1.84,1.75,1.66
14.96,76.13,387.35
1.81,8.18,36.98
1317.56,3.37,0.01
2.18,100.89,4660.2
16.16,29.36,53.34
0.99,184.22,34308.67
1041.95,9.72,0.09
88.31,266.99,807.24
1464.86,255.08,44.42
0.71,7.12,71.47
2.13,17.6,145.07
11.69,37.44,119.86
86.53,144.0,239.64
7.69,60.1,469.66
183.31,219.44,262.7
1.97,74.31,2807.83
72.86,139.76,268.09
13.57,337.95,8418.35
33.86,151.69,679.53
56.34,6.35,0.72
0.82,172.65,36276.14
1065.03,298.58,83.7
339.25,85.47,21.53
19.62,8.78,3.93
46.88,499.37,5319.26
0.65,2.98,13.53
31.09,109.67,386.91
17.16,106.97,666.69
11.17,1.6,0.23
432.43,321.22,238.61
2.26,49.87,1100.2
2.16,21.32,210.56
37.85,290.68,2232.21
149.31,344.44,794.55
0.6,23.6,925.03
46.25,11.46,2.84
5.96,2.54,1.08
266.26,145.29,79.28
24.43,409.0,6848.12
505.08,26.62,1.4
13.46,4.41,1.44
476.65,442.4,410.61
190.49,5.0,0.13
481.29,6.8,0.1
422.04,45.24,4.85
28.24,7.6,2.04
10.59,4.95,2.32
285.15,78.77,21.76
10.03,305.01,9277.55
1.05,99.47,9427.54
620.27,40.24,2.61
13.48,9.38,6.53
1.5,42.38,1195.71
106.57,2.01,0.04
801.65,2.07,0.01
631.28,5.73,0.05
49.67,8.16,1.34
1.04,4.64,20.78
161.5,3.39,0.07
77.98,445.53,2545.39
2.86,52.97,982.04
876.54,8.45,0.08
1.03,151.57,22391.67
11.03,5.46,2.7
1.1,62.28,3541.92
963.5,4.63,0.02
0.67,56.63,4782.05
17.08,17.64,18.21
635.55,8.48,0.11
4.02,177.09,7796.63
1.19,18.86,297.7
1.43,34.52,831.36
14.37,230.72,3703.38
17.49,1.93,0.21
192.99,3.58,0.07
3.6,9.73,26.32
168.67,4.04,0.1
1983.09,15.24,0.12
648.71,131.83,26.79
97.35,83.04,70.83
1215.04,48.35,1.92
1857.82,56.05,1.69
56.64,2.79,0.14
4.84,128.67,3422.83
988.09,122.78,15.26
549.3,141.37,36.38
1.01,198.82,39191.05
1179.91,26.14,0.58
10.43,268.14,6896.13
7.23,301.88,12604.35
8.62,15.75,28.76
7.11,34.82,170.64
36.12,82.76,189.61
61.28,100.82,165.87
17.07,9.07,4.82
15.31,4.88,1.56
226.37,84.92,31.85
0.51,77.15,11609.34
1287.4,2.02,0.0
187.24,174.57,162.75
176.42,127.05,91.5
16.55,4.92,1.46
1505.89,20.88,0.29
0.5,16.95,572.81
0.94,195.65,40597.68
393.78,7.52,0.14
228.99,17.18,1.29
4.75,6.77,9.65
69.4,5.04,0.37
41.25,2.8,0.19
39.6,1.52,0.06
69.86,20.71,6.14
1898.73,20.69,0.23
1800.72,169.91,16.03
1718.09,248.62,35.98
47.35,3.75,0.3
6.99,2.51,0.9
52.06,19.52,7.32
87.48,16.29,3.03
6.62,19.67,58.44
95.12,150.13,236.97
86.98,37.0,15.74
898.11,1.97,0.0
3.59,14.17,55.99
162.86,15.68,1.51
21.02,17.29,14.23
1.47,68.23,3169.46
6.88,435.48,27545.68
0.8,11.19,155.84
7.07,6.65,6.26
0.89,438.24,216705.59
1077.65,15.56,0.22
1.16,55.08,2609.24
439.63,3.66,0.03
918.1,391.67,167.09
24.19,5.91,1.44
0.78,239.2,73168.31
69.99,6.19,0.55
3.5,39.36,441.99
2.16,75.12,2607.61
55.02,21.82,8.66
9.61,7.59,5.99
213.72,3.74,0.07
67.4,14.52,3.13
485.63,13.07,0.35
0.81,83.92,8678.17
3.51,57.4,938.97
55.12,2.12,0.08
741.87,6.12,0.05
425.6,3.28,0.03
140.18,7.57,0.41
58.45,5.09,0.44
94.09,91.14,88.29
2.94,104.69,3727.46
69.65,27.01,10.48
30.03,2.62,0.23
12.13,30.25,75.47
788.19,149.15,28.22
485.93,30.72,1.94
0.94,3.09,10.11
1776.75,70.9,2.83
3.37,3.15,2.94
2.98,102.47,3520.21
1255.03,30.95,0.76
20.01,4.22,0.89
398.05,3.51,0.03
5.46,20.83,79.52
698.53,69.03,6.82
497.72,5.89,0.07
37.17,106.36,304.35
173.23,5.27,0.16
1484.08,21.23,0.3
21.25,27.87,36.57
30.14,279.41,2590.35
200.7,1.79,0.02
12.33,124.41,1255.57
1450.03,95.91,6.34
0.7,22.97,754.87
14.19,105.8,788.95
186.34,7.0,0.26
17.6,15.46,13.58
4.29,141.84,4685.69
15.43,2.39,0.37
748.59,65.07,5.66
46.7,13.46,3.88
8.05,29.17,105.67
131.17,38.77,11.46
79.96,15.48,3.0
52.21,1.5,0.04
12.82,38.54,115.88
0.91,108.22,12869.1
86.08,119.96,167.18
16.26,291.04,5209.76
17.51,29.69,50.33
3.48,42.61,520.98
3.96,37.7,359.18
343.13,174.31,88.55
26.65,2.06,0.16
1.24,22.81,420.15
0.73,52.05,3703.68
3.22,2.55,2.01
28.49,217.89,1666.15
83.63,346.42,1435.01
1.65,10.03,61.15
18.27,4.4,1.06
0.91,76.68,6442.16
0.68,103.62,15703.63
643.87,3.19,0.02
117.58,15.94,2.16
325.47,393.48,475.7
2.26,192.14,16335.45
7.23,34.22,161.88
19.84,84.43,359.29
117.29,3.11,0.08
42.22,43.31,44.43
48.46,111.65,257.24
1.84,6.6,23.73
25.66,129.25,651.1
463.81,50.43,5.48
34.2,6.31,1.16
2.62,21.92,183.36
15.42,27.77,50.01
261.72,2.18,0.02
1.53,102.5,6858.38
61.64,28.81,13.47
1500.0,5.24,0.02
11.72,1.91,0.31
0.72,107.86,16202.61
95.38,4.61,0.22
0.74,317.99,136831.43
2.45,136.55,7611.01
0.75,119.53,19127.03
2.06,184.95,16612.26
600.46,6.78,0.08
221.79,262.66,311.05
8.52,2.58,0.78
852.15,40.39,1.91
124.45,107.3,92.52
20.5,2.64,0.34
0.88,2.46,6.85
214.32,3.52,0.06
11.26,2.29,0.47
6.16,103.87,1750.69
5.46,5.87,6.32
0.53,419.69,330462.85
236.6,27.19,3.12
1.67,16.76,168.37
37.53,304.47,2470.18
0.57,1.69,5.02
91.34,41.07,18.47
10.71,4.99,2.32
93.53,32.95,11.61
1.05,29.88,847.0
4.55,90.98,1817.92
1.25,9.59,73.66
106.21,252.98,602.57
1.23,161.87,21298.28
83.52,3.19,0.12
1.53,442.44,128105.68
1250.23,237.21,45.01
15.81,14.06,12.51
1.43,476.34,158810.86
0.71,486.7,334928.83
7.68,34.98,159.22
812.45,8.57,0.09
1.65,367.6,81989.07
352.85,36.06,3.69
15.94,57.15,204.94
390.09,14.76,0.56
705.05,369.05,193.18
1964.12,100.25,5.12
0.88,140.15,22312.28
369.23,2.65,0.02
0.89,85.26,8156.31
6.81,19.58,56.35
106.35,121.56,138.94
20.42,21.49,22.61
54.33,291.69,1566.0
1510.96,51.3,1.74
444.45,3.02,0.02
10.21,412.97,16707.46
72.44,464.88,2983.09
0.75,127.21,21650.46
21.4,315.76,4659.79
77.71,2.3,0.07
187.68,5.39,0.15
883.67,149.3,25.22
5.23,17.57,59.04
888.47,238.92,64.25
120.73,14.99,1.86
0.95,31.95,1072.3
11.72,174.35,2593.43
26.04,2.68,0.28
9.3,70.46,533.67
1.31,1.54,1.82
48.51,2.89,0.17
1.49,8.63,49.91
988.45,7.55,0.06
654.13,44.28,3.0
25.75,21.63,18.18
0.88,4.82,26.45
48.76,44.32,40.29
67.96,48.81,35.06
792.72,5.0,0.03
0.88,1.8,3.72
155.59,363.54,849.46
53.24,53.64,54.04
2.13,6.92,22.49
1.37,287.63,60282.91
157.99,395.26,988.87
8.38,17.24,35.48
1999.0,429.05,92.09
830.28,15.85,0.3
54.54,21.19,8.23
102.45,110.67,119.55
1.87,28.75,442.45
830.29,10.78,0.14
22.49,29.93,39.82
37.75,30.27,24.28
698.29,1.5,0.0
0.53,17.3,568.56
30.17,5.43,0.98
90.49,31.16,10.73
1.87,231.78,28663.37
0.88,382.15,165762.41
42.25,4.7,0.52
46.9,2.84,0.17
7.74,493.85,31523.33
753.04,8.3,0.09
6.07,71.2,834.6
36.25,8.71,2.09
2.35,7.42,23.42
0.55,18.88,650.1
17.12,6.7,2.62
39.54,48.2,58.76
284.05,128.02,57.7
20.68,9.54,4.4
5.05,51.43,524.1
75.07,30.31,12.24
11.8,13.65,15.8
3.47,10.48,31.67
950.82,36.42,1.39
42.87,100.97,237.79
2.64,29.86,338.05
130.51,3.06,0.07
390.57,269.25,185.62
269.93,20.36,1.54
72.2,3.65,0.18
37.21,54.03,78.46
